model,category,prompt,trial,input_tokens,output_tokens,deltas_emitted,ttft_s,elapsed_s,tokens_per_sec,eval_ms_per_token,decode_ms_per_token,decode_p50_ms,decode_p95_ms,cost_usd,cost_per_million_tokens
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",3,72,256,256,0.2647538185119629,6.273656845092773,43.15303890795799,23.17333901171875,23.560184590956744,23.56100082397461,23.9717960357666,0.0016890789324097222,5.1496308914930555
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",0,42,206,205,0.1887669563293457,5.032225131988525,43.24719281610686,23.122888097087376,23.61777015760833,23.632049560546875,24.155139923095703,0.0012743280551283712,5.138419577130529
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",2,42,155,154,0.1871201992034912,3.8134710788726807,43.34571847750893,23.070329322580644,23.538915160434698,23.530006408691406,24.295806884765625,0.001009967750344086,5.126739849462365
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",4,72,256,256,0.26449108123779297,6.277290105819702,43.151972964444774,23.17391144140625,23.561769373276654,23.57196807861328,24.140119552612305,0.0016891206561736114,5.149758098090279
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",4,46,255,254,0.1879892349243164,6.2068939208984375,43.15670779679414,23.17136897254902,23.687541720424246,23.707866668701172,24.231910705566406,0.0015499071246082789,5.149193105010894
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",3,46,248,247,0.18858599662780762,6.02830696105957,43.1724028105292,23.16294518951613,23.62872720733891,23.6358642578125,24.3380069732666,0.0015133124190483873,5.147321153225807
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",1,42,206,205,0.1891310214996338,5.0340657234191895,43.243133949654634,23.12505844660194,23.6125389734904,23.645877838134766,24.198055267333984,0.0012744476655016182,5.138901877022654
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",2,46,256,256,0.1884779930114746,6.213178873062134,43.180658327637836,23.15851676953125,23.615250867955826,23.635149002075195,24.33466911315918,0.0015541937920885418,5.146337059895834
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",2,72,256,256,0.2614288330078125,6.277672052383423,43.1281344200348,23.18672053515625,23.586494782391718,23.606061935424805,24.374008178710938,0.0016900542967847225,5.152604563368056
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",0,46,256,256,0.18780303001403809,6.229657173156738,43.14908391728077,23.17546305078125,23.68934107761757,23.6971378326416,24.16825294494629,0.0015553310758524305,5.150102900173612
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",2,46,256,256,0.10595321655273438,6.126152992248535,43.176660915579845,23.16066084765625,23.599066453821518,23.613929748535156,24.184703826904297,0.0015543376835538197,5.1468135217013895
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",4,46,256,256,0.18696212768554688,6.213505983352661,43.17200695229858,23.163157578125,23.630187090705423,23.631811141967773,24.324655532836914,0.0015545052419097222,5.147368350694444
